date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648

2012/01-11 | 1
2012-01/11 | 1
2012/01/11 | 1
12-01-2011 | 1
2012-1-11 | 11
2012-01-1 | 12
2012-13-11 | 13
2012-01-41 | 14
2012-01- | 1
2012-1- | 1
12-12-12 | 1
AAAA-MM-YY | 15
-12-2012 | 16
2012-12- | 17
2012--12 | 18
2012-12 | 19
2011-mm-09 | 1

2011-01-09 | 0
2011-01-09 | a
2011-01-09 | a0
2011-01-09 | 0a
2011-01-09 | !

2009-01-01 | 10
2009-01-02 | 10

2022-03-28 | 1
2022-03-29 | 1
2022-03-30 | 1
